Tool/Chamber/Date,stable_slot,stable_wafer,count
FH0000/PM-1 05-29,14,14,1
FH0000/PM-3 03-12,17,17,1
FH0000/PM-6 03-14,17,17,1
FH0000/PM-5 03-09,18,18,1
FH0000/PM-1 03-09,20,20,1
FH0000/PM-1 04-19,14,14,1
FH0000/PM-6 04-04,21,21,1
FH0000/PM-4 03-15,18,18,1
FH0000/PM-5 05-28,23,23,1
FH0000/PM-5 04-22,17,17,1
FH0000/PM-1 03-29,23,23,1
FH0000/PM-3 04-01,25,25,1
FH0000/PM-3 05-09,24,24,1
FH0000/PM-3 05-28,23,23,1
FH0000/PM-1 05-08,20,20,1
FH0000/PM-1 06-18,23,23,1
FH0000/PM-3 06-17,22,22,1
FH0000/PM-5 06-16,25,25,1
FH0000/PM-1 07-09,22,22,1
FH0000/PM-3 07-06,14,14,1
FH0000/PM-4 06-26,19,19,1
FH0000/PM-4 06-28,25,25,1
FH0000/PM-4 07-06,17,17,1
FH0000/PM-4 07-18,15,15,1
FH0000/PM-5 06-28,21,21,1
FH0000/PM-6 06-29,20,20,1
FH0000/PM-6 07-20,24,24,1
